Name	Age	Nationality	Club	Joined
D. Blind	28	Netherlands	Ajax	2018-07-17
J. Zoet	27	Netherlands	PSV	2009-07-01
A. Ljajić	26	Serbia	Beşiktaş JK	NA
Canales	27	Spain	Real Betis	2018-07-03
Iago Falqué	28	Spain	Torino	2017-01-04
L. de Jong	27	Netherlands	PSV	2014-07-12
Guaita	31	Spain	Crystal Palace	2018-07-01
Muniain	25	Spain	Athletic Club de Bilbao	2009-08-01
Susaeta	30	Spain	Athletic Club de Bilbao	2007-06-01
S. Rudy	28	Germany	FC Schalke 04	2018-08-27
K. Trapp	27	Germany	Eintracht Frankfurt	NA
V. Wanyama	27	Kenya	Tottenham Hotspur	2016-07-01
N. Nkoulou	28	Cameroon	Torino	2018-07-01
R. Boudebouz	28	Algeria	Real Betis	2017-08-09
Camacho	28	Spain	VfL Wolfsburg	2017-07-08
S. Ulreich	29	Germany	FC Bayern München	2015-07-01
M. Musacchio	27	Argentina	Milan	2017-07-01
C. Stuani	31	Uruguay	Girona FC	2017-07-21
P. Gulácsi	28	Hungary	RB Leipzig	2015-07-01
Bruno	34	Spain	Villarreal CF	2005-07-01
F. Delph	28	England	Manchester City	2015-07-17
A. Lallana	30	England	Liverpool	2014-07-01
Marcelo	31	Brazil	Olympique Lyonnais	2017-07-17
S. Coleman	29	Republic of Ireland	Everton	2009-02-04
Alexandre Pato	28	Brazil	Tianjin Quanjian FC	2017-09-28
Antunes	31	Portugal	Getafe CF	2018-07-02
Nacho Monreal	32	Spain	Arsenal	2013-01-31
Beñat	31	Spain	Athletic Club de Bilbao	2013-06-26
A. Fernández	32	Argentina	Beijing Renhe FC	2018-01-31
K. Gameiro	31	France	Valencia CF	2018-08-13
I. Piatti	33	Argentina	Montreal Impact	2014-08-15
V. Birsa	31	Slovenia	Chievo Verona	2015-07-03
S. Romero	31	Argentina	Manchester United	2015-07-27
D. Criscito	31	Italy	Genoa	2018-07-01
D. Valeri	32	Argentina	Portland Timbers	2013-01-10
D. Sturridge	28	England	Liverpool	2013-01-02
Raúl García	31	Spain	Athletic Club de Bilbao	2015-08-31
S. Defour	30	Belgium	Burnley	2016-08-16
M. Škrtel	33	Slovakia	Fenerbahçe SK	2016-07-15
S. Radu	31	Romania	Lazio	2008-01-01
G. Cahill	32	England	Chelsea	2012-01-16
L. Diarra	33	France	Paris Saint-Germain	2018-01-23
L. Perrin	32	France	AS Saint-Étienne	2003-07-01
Dante	34	Brazil	OGC Nice	2016-08-23
A. Granqvist	33	Sweden	NA	NA
A. Gignac	32	France	Tigres U.A.N.L.	2015-06-18
M. Gómez	32	Germany	VfB Stuttgart	2018-01-01
I. Akinfeev	32	Russia	PFC CSKA Moscow	2002-01-01
I. Denisov	34	Russia	Lokomotiv Moscow	2013-08-15
Juanfran	33	Spain	Atlético Madrid	2011-01-01
Diego López	36	Spain	RCD Espanyol	2017-07-01
Santi Cazorla	33	Spain	Villarreal CF	2018-08-06
Jesús Navas	32	Spain	Sevilla FC	2017-07-28
J. Mascherano	34	Argentina	Hebei China Fortune FC	2018-01-26
A. Mirante	34	Italy	Roma	2018-07-01
D. Srna	36	Croatia	Cagliari	2018-08-22
B. Schweinsteiger	33	Germany	Chicago Fire	2017-03-21
Moyá	34	Spain	Real Sociedad	2018-02-27
W. Rooney	32	England	DC United	2018-07-10
Fernando Torres	34	Spain	Sagan Tosu	2018-07-16
S. Sorrentino	39	Italy	Chievo Verona	2016-07-06
V. Tsygankov	20	Ukraine	Dynamo Kyiv	2015-01-01
Rúben Dias	21	Portugal	SL Benfica	2015-07-01
David Neres	21	Brazil	Ajax	2017-02-01
Raphinha	21	Brazil	Sporting CP	2018-07-01
A. Harit	21	Morocco	FC Schalke 04	2017-07-10
Richarlison	21	Brazil	Everton	2018-07-24
L. Martínez	20	Argentina	Inter	2018-07-05
F. Kessié	21	Ivory Coast	Milan	NA
Luimo Boas Santos	30	Brazil	Santos	2018-01-01
Gabri Prestão	26	Brazil	Internacional	2018-01-01
Melvin Parrela	30	Brazil	América FC (Minas Gerais)	2018-01-01
Antônio Chiamuloira	30	Brazil	Internacional	2018-01-01
Maikel Catarino	34	Brazil	Atlético Mineiro	2018-01-01
A. Lunev	26	Russia	NA	NA
André Silva	22	Portugal	Sevilla FC	NA
C. Pulisic	19	United States	Borussia Dortmund	2016-01-05
M. Dmitrović	26	Serbia	SD Eibar	2017-07-01
L. Tousart	21	France	Olympique Lyonnais	2015-08-31
Marcos Llorente	23	Spain	Real Madrid	2014-11-28
B. Verbič	24	Slovenia	Dynamo Kyiv	2018-01-01
S. Bergwijn	20	Netherlands	PSV	2014-07-01
A. Diallo	22	France	Borussia Dortmund	2018-07-01
A. Golovin	22	Russia	AS Monaco	2018-07-27
M. Campaña	29	Uruguay	Independiente	2017-01-01
C. Pavón	22	Argentina	Boca Juniors	2014-07-14
K. Toko-Ekambi	25	Cameroon	Villarreal CF	2018-07-02
Granell	29	Spain	Girona FC	2014-07-01
F. Cervi	24	Argentina	SL Benfica	2016-01-04
J. Weigl	22	Germany	Borussia Dortmund	2015-07-01
V. Lindelöf	23	Sweden	Manchester United	2017-07-01
A. Rebić	24	Croatia	Eintracht Frankfurt	2017-12-20
A. Sanabria	22	Paraguay	Real Betis	2016-07-15
R. Battaglia	26	Argentina	Sporting CP	2017-07-01
M. Philipp	24	Germany	Borussia Dortmund	2017-07-01
A. Saint-Maximin	21	France	OGC Nice	2017-08-07
D. Zappacosta	26	Italy	Chelsea	2017-08-31
L. Alario	25	Argentina	Bayer 04 Leverkusen	2017-08-31
D. Benedetto	28	Argentina	Boca Juniors	2016-07-01
I. Marcone	28	Argentina	Cruz Azul	2018-07-01
J. Gbamin	22	Ivory Coast	1. FSV Mainz 05	2016-07-13
J. Lerma	23	Colombia	Bournemouth	2018-08-07
Ricardo Horta	23	Portugal	SC Braga	2017-07-19
R. Zobnin	24	Russia	Spartak Moscow	2016-07-01
M. Meyer	22	Germany	Crystal Palace	2018-08-03
Bruma	23	Portugal	RB Leipzig	2017-07-01
R. Centurión	25	Argentina	Racing Club	2018-01-22
Jonny	24	Spain	Wolverhampton Wanderers	NA
Otávio	23	Brazil	FC Porto	2014-09-01
J. Hofmann	25	Germany	Borussia Mönchengladbach	2016-01-01
N. Aké	23	Netherlands	Bournemouth	2017-06-30
J. Hector	28	Germany	1. FC Köln	2012-02-25
S. Kolašinac	25	Bosnia Herzegovina	Arsenal	2017-07-01
G. Pizarro	28	Argentina	Tigres U.A.N.L.	2018-07-02
Roger	27	Spain	Levante UD	2011-07-01
Sergio Rico	24	Spain	Fulham	NA
L. Milivojević	27	Serbia	Crystal Palace	2017-02-01
D. Baselli	26	Italy	Torino	2015-07-10
K. Rekik	23	Netherlands	Hertha BSC	2017-07-01
Denis Suárez	24	Spain	FC Barcelona	2016-07-04
W. Orban	25	Hungary	RB Leipzig	2015-07-01
Mário Rui	27	Portugal	Napoli	2018-01-06
Iñigo Martínez	27	Spain	Athletic Club de Bilbao	2018-01-30
K. Zouma	23	France	Everton	NA
Roque Mesa	29	Spain	Sevilla FC	2018-07-02
J. Brooks	25	United States	VfL Wolfsburg	2017-07-01
L. Karius	25	Germany	Beşiktaş JK	NA
Zé Luís	27	Cape Verde	Spartak Moscow	2015-07-07
D. Klaassen	25	Netherlands	SV Werder Bremen	2018-07-27
M. Elyounoussi	23	Norway	Southampton	2018-06-29
L. Bittencourt	24	Germany	TSG 1899 Hoffenheim	2018-07-01
Sergi Darder	24	Spain	RCD Espanyol	2018-07-10
J. Roussillon	25	France	VfL Wolfsburg	2018-08-06
D. Demme	26	Germany	RB Leipzig	2014-01-08
J. Gouweleeuw	26	Netherlands	FC Augsburg	2016-01-09
M. Rojo	28	Argentina	Manchester United	2014-08-20
J. Veretout	25	France	Fiorentina	2017-07-25
L. Kurzawa	25	France	Paris Saint-Germain	2015-08-27
G. Ramírez	27	Uruguay	Sampdoria	2017-08-04
David López	28	Spain	RCD Espanyol	2016-08-26
C. Tătăruşanu	32	Romania	FC Nantes	2017-07-27
A. Mandi	26	Algeria	Real Betis	2016-07-01
D. Sidibé	25	France	AS Monaco	2016-07-09
Y. Konoplyanka	28	Ukraine	FC Schalke 04	2016-08-30
S. Berghuis	26	Netherlands	Feyenoord	2017-07-31
H. Vanaken	25	Belgium	Club Brugge KV	2015-07-01
Campaña	25	Spain	Levante UD	2016-08-15
M. van Ginkel	25	Netherlands	Chelsea	2013-07-05
Nolito	31	Spain	Sevilla FC	2017-07-16
M. Gregoritsch	24	Austria	FC Augsburg	2017-07-05
Ibai Gómez	28	Spain	Deportivo Alavés	2016-07-30
Danilo	26	Brazil	Manchester City	2017-07-23
R. Barkley	24	England	Chelsea	2018-01-05
M. Ryan	26	Australia	Brighton & Hove Albion	2017-07-01
Sergio León	29	Spain	Real Betis	2017-07-01
B. Stambouli	27	France	FC Schalke 04	2016-08-26
J. Guilavogui	27	France	VfL Wolfsburg	2016-05-17
Sérgio Oliveira	26	Portugal	FC Porto	2015-07-01
D. Caligiuri	30	Italy	FC Schalke 04	2017-01-25
C. Wilson	26	England	Bournemouth	2014-07-04
P. Jones	26	England	Manchester United	2011-07-01
Borja García	27	Spain	Girona FC	2015-08-26
Y. Belhanda	28	Morocco	Galatasaray SK	2017-07-04
G. Pezzella	27	Argentina	Fiorentina	2018-07-01
Jaume Costa	30	Spain	Villarreal CF	2010-07-01
C. Tosun	27	Turkey	Everton	2018-01-05
Escudero	28	Spain	Sevilla FC	2015-07-03
Kike García	28	Spain	SD Eibar	2016-02-03
Elkeson	28	Brazil	Shanghai SIPG FC	2016-01-21
Ricardo Goulart	27	Brazil	Guangzhou Evergrande Taobao FC	2015-01-13
J. Guðmundsson	27	Iceland	Burnley	2016-07-20
N. Clyne	27	England	Liverpool	2015-07-01
M. Hitz	30	Switzerland	Borussia Dortmund	2018-07-01
De Marcos	29	Spain	Athletic Club de Bilbao	2009-07-01
B. Mee	28	England	Burnley	2012-01-17
Rafael	27	Brazil	Olympique Lyonnais	2015-08-03
Iborra	30	Spain	Leicester City	2017-07-06
J. Wilshere	26	England	West Ham United	2018-07-09
B. Hübner	28	Germany	TSG 1899 Hoffenheim	2016-07-01
Souza	29	Brazil	Al Ahli	2018-08-23
F. Coquelin	27	France	Valencia CF	2018-01-11
Alex Teixeira	28	Brazil	Jiangsu Suning FC	2016-02-05
A. Dzagoev	28	Russia	PFC CSKA Moscow	2008-01-01
I. Smolnikov	29	Russia	NA	NA
Y. M'Vila	28	France	AS Saint-Étienne	2018-01-12
K. Asamoah	29	Ghana	Inter	2018-07-02
R. Zieler	29	Germany	VfB Stuttgart	2017-07-11
D. Drinkwater	28	England	Chelsea	2017-08-31
N. Kalinić	30	Croatia	Atlético Madrid	2018-08-09
Mariano	32	Brazil	Galatasaray SK	2017-07-17
S. Feghouli	28	Algeria	Galatasaray SK	2017-08-14
Adrien Silva	29	Portugal	Leicester City	2018-01-01
Fernando	30	Brazil	Galatasaray SK	2017-08-04
I. Traoré	30	Guinea	Borussia Mönchengladbach	2014-07-01
G. Mercado	31	Argentina	Sevilla FC	2016-08-09
N. Petersen	29	Germany	SC Freiburg	2015-07-01
O. Karnezis	32	Greece	Napoli	2018-07-06
M. Sakho	28	France	Crystal Palace	2017-08-31
Sidnei	28	Brazil	Real Betis	2018-08-02
S. Jovetić	28	Montenegro	AS Monaco	2017-08-29
Eder	31	Italy	Jiangsu Suning FC	2018-07-13
J. Hernández	30	Mexico	West Ham United	2017-07-24
Fabricio	30	Spain	Fulham	2018-07-24
Kiko Casilla	31	Spain	Real Madrid	2015-07-19
Ángel	31	Spain	Getafe CF	2017-07-06
M. Schneiderlin	28	France	Everton	2017-01-12
M. Fellaini	30	Belgium	Manchester United	2013-09-02
P. Wernbloom	32	Sweden	PAOK	2018-08-17
D. Ospina	29	Colombia	Napoli	NA
S. Mignolet	30	Belgium	Liverpool	2013-06-25
A. Begović	31	Bosnia Herzegovina	Bournemouth	2017-05-30
N. Şahin	29	Turkey	SV Werder Bremen	2018-08-31
R. Bertrand	28	England	Southampton	2015-02-02
A. Masiello	32	Italy	Atalanta	2011-07-26
T. Walcott	29	England	Everton	2018-01-17
Charles	34	Brazil	SD Eibar	2017-07-04
T. Heaton	32	England	Burnley	2013-07-01
H. Ben Arfa	31	France	Stade Rennais FC	2018-09-02
D. Abraham	31	Argentina	Eintracht Frankfurt	2015-07-02
E. Lavezzi	33	Argentina	Hebei China Fortune FC	2016-02-17
S. Kalou	32	Ivory Coast	Hertha BSC	2014-08-31
J. Farfán	33	Peru	Lokomotiv Moscow	2017-01-29
R. Babel	31	Netherlands	Beşiktaş JK	2017-01-02
A. Young	32	England	Manchester United	2011-07-01
J. Hart	31	England	Burnley	2018-08-07
L. López	35	Argentina	Racing Club	2016-01-04
D. Baier	34	Germany	FC Augsburg	2010-01-31
B. Yılmaz	32	Turkey	Trabzonspor	2017-08-02
R. Adler	33	Germany	1. FSV Mainz 05	2017-07-01
S. Lichtsteiner	34	Switzerland	Arsenal	2018-07-01
E. Adebayor	34	Togo	Medipol Başakşehir FK	2017-01-31
E. Belözoğlu	37	Turkey	Medipol Başakşehir FK	2015-07-09
Loren	24	Spain	Real Betis	2015-01-29
Éder Militão	20	Brazil	FC Porto	2018-08-07
F. Chiesa	20	Italy	Fiorentina	2016-07-01
M. Lazzari	24	Italy	SPAL	2013-07-01
A. Hakimi	19	Morocco	Borussia Dortmund	NA
S. Nakajima	23	Japan	Portimonense SC	2018-01-06
L. Jović	20	Serbia	Eintracht Frankfurt	NA
S. Ascacíbar	21	Argentina	VfB Stuttgart	2017-08-22
A. Lafont	19	France	Fiorentina	2018-07-02
T. Alexander-Arnold	19	England	Liverpool	2015-10-07
F. Krovinović	22	Croatia	SL Benfica	2017-07-01
Sidney Pessinho	26	Brazil	Internacional	2018-01-01
Everticinho	30	Brazil	Grêmio	2018-01-01
Claudio Coíntra	34	Brazil	Internacional	2018-01-01
Ronaldo Esler	30	Brazil	Atlético Mineiro	2018-01-01
P. Lees-Melou	25	France	OGC Nice	2017-06-16
B. Chilwell	21	England	Leicester City	2015-08-26
João Novais	24	Portugal	SC Braga	2018-07-01
D. Calabria	21	Italy	Milan	2015-07-01
F. Mendy	23	France	Olympique Lyonnais	2017-07-01
L. Pellegrini	22	Italy	Roma	2017-07-01
Soares	27	Brazil	FC Porto	2017-01-23
Daniel Podence	22	Portugal	Olympiacos CFP	2018-07-10
M. Díaz	32	Argentina	Club Atlético Huracán	2014-06-25
G. Martínez	25	Argentina	River Plate	2015-01-20
M. Eggestein	21	Germany	SV Werder Bremen	2014-11-29
Trezeguet	23	Egypt	Kasimpaşa SK	2018-07-01
N. Amiri	21	Germany	TSG 1899 Hoffenheim	2014-08-01
Vallejo	21	Spain	Real Madrid	2015-07-31
J. Gomez	21	England	Liverpool	2015-06-20
Diogo Jota	21	Portugal	Wolverhampton Wanderers	2018-07-01
Joan Jordán	23	Spain	SD Eibar	2017-07-13
Dyego Sousa	28	Brazil	SC Braga	2017-07-01
A. Marušić	25	Montenegro	Lazio	2017-07-01
David Soria	25	Spain	Getafe CF	2018-07-16
V. Rongier	23	France	FC Nantes	2014-07-01
W. Weghorst	25	Netherlands	VfL Wolfsburg	2018-07-01
O. Al Soma	29	Syria	Al Ahli	2014-07-01
M. Nakamba	24	Zimbabwe	Club Brugge KV	2017-07-01
Petros	29	Brazil	Al Nassr	2018-07-01
Pablo Maffeo	20	Spain	VfB Stuttgart	2018-07-01
Y. Mina	23	Colombia	Everton	2018-08-09
M. Dúbravka	29	Slovakia	Newcastle United	2018-06-09
Diego Carlos	25	Brazil	FC Nantes	2016-06-30
D. Djené	26	Togo	Getafe CF	2017-07-24
G. Simeone	22	Argentina	Fiorentina	2017-08-16
M. Meza	25	Argentina	Independiente	2016-09-19
Bastos	26	Angola	Lazio	2016-08-17
S. Lobotka	23	Slovakia	RC Celta	2017-07-15
Y. Tielemans	21	Belgium	AS Monaco	2017-07-01
Marcelo Goiano	30	Brazil	SC Braga	2014-07-01
K. Tete	22	Netherlands	Olympique Lyonnais	2017-07-10
Capa	26	Spain	Athletic Club de Bilbao	2018-07-02
M. Sportiello	26	Italy	Frosinone	NA
Jemerson	25	Brazil	AS Monaco	2016-01-31
N. Maksimović	26	Serbia	Napoli	2017-07-09
D. Zapata	27	Colombia	Atalanta	NA
J. Correa	23	Argentina	Lazio	2018-08-01
E. Rigoni	25	Argentina	Atalanta	2017-08-23
C. Izquierdoz	29	Argentina	Boca Juniors	2018-07-05
W. Barrios	24	Colombia	Boca Juniors	2016-08-26
J. Mojica	25	Colombia	Girona FC	2018-07-02
A. Selikhov	24	Russia	Spartak Moscow	2016-12-06
A. Iwobi	22	Nigeria	Arsenal	2013-07-01
D. Laxalt	25	Uruguay	Milan	2018-08-17
N. Bentaleb	23	Algeria	FC Schalke 04	2017-02-27
N. Stark	23	Germany	Hertha BSC	2015-08-24
M. Lemina	24	Gabon	Southampton	2017-08-08
L. Dendoncker	23	Belgium	Wolverhampton Wanderers	NA
Ricardo Esgaio	25	Portugal	SC Braga	2017-07-01
P. Sisto	23	Denmark	RC Celta	2016-07-31
P. Max	24	Germany	FC Augsburg	2015-08-04
R. Gagliardini	24	Italy	Inter	2017-08-01
Pere Pons	25	Spain	Girona FC	2012-09-01
D. Berardi	23	Italy	Sassuolo	2012-07-01
M. Halstenberg	26	Germany	RB Leipzig	2015-08-31
J. Quintero	25	Colombia	River Plate	NA
Tiago Volpi	27	Brazil	Querétaro	2014-12-30
Óliver Torres	23	Spain	FC Porto	2017-07-01
Omar Mascarell	25	Spain	FC Schalke 04	2018-07-01
H. Sakai	28	Japan	Olympique de Marseille	2016-07-01
Andreas Pereira	22	Brazil	Manchester United	2013-01-01
A. Januzaj	23	Belgium	Real Sociedad	2017-07-12
B. Cristante	23	Italy	Roma	NA
Matheus	25	Brazil	SC Braga	2014-07-01
B. Traoré	22	Burkina Faso	Olympique Lyonnais	2017-07-01
Y. Poulsen	24	Denmark	RB Leipzig	2013-07-04
L. Trossard	23	Belgium	KRC Genk	2012-01-01
M. Arnold	24	Germany	VfL Wolfsburg	2011-10-10
M. De Sciglio	25	Italy	Juventus	2017-07-20
Leo Baptistao	25	Brazil	RCD Espanyol	2016-07-09
V. Chiricheş	28	Romania	Napoli	2015-07-30
L. Pavoletti	29	Italy	Cagliari	2018-07-01
A. Cragno	24	Italy	Cagliari	2014-07-12
L. Castro	29	Argentina	Cagliari	2018-07-16
N. Füllkrug	25	Germany	Hannover 96	2016-07-18
F. Fajr	29	Morocco	Stade Malherbe Caen	2018-08-03
R. Jiménez	27	Mexico	Wolverhampton Wanderers	NA
E. Sala	27	Argentina	FC Nantes	2015-07-20
S. García	27	Uruguay	Godoy Cruz	2016-01-08
S. Arias	26	Colombia	Atlético Madrid	2018-07-31
B. Reynet	27	France	Toulouse Football Club	2018-07-01
Pozuelo	26	Spain	KRC Genk	2015-08-31
A. Trebel	27	France	RSC Anderlecht	2017-01-15
J. Lascelles	24	England	Newcastle United	2014-08-04
T. Kongolo	24	Netherlands	Huddersfield Town	2018-06-09
A. Carrillo	27	Peru	Al Hilal	NA
Álvaro	28	Spain	Villarreal CF	2016-08-31
G. Defrel	27	France	Sampdoria	NA
Fernando	26	Brazil	Spartak Moscow	2016-07-18
V. Darida	27	Czech Republic	Hertha BSC	2015-07-18
R. Saponara	26	Italy	Sampdoria	NA
Pedro Mendes	27	Portugal	Montpellier HSC	2017-07-18
C. Schindler	28	Germany	Huddersfield Town	2016-06-29
N. Chadli	28	Belgium	AS Monaco	2018-08-30
Arbilla	31	Spain	SD Eibar	2016-08-30
L. Dunk	26	England	Brighton & Hove Albion	2010-07-01
P. Hernández	31	Chile	Independiente	2018-07-05
J. Guidetti	26	Sweden	Deportivo Alavés	2018-07-02
Sergi Gómez	26	Spain	Sevilla FC	2018-07-25
Oriol Romeu	26	Spain	Southampton	2015-08-12
Lucas Pérez	29	Spain	West Ham United	2018-08-09
B. Natcho	30	Israel	Olympiacos CFP	2018-08-07
Cláudio Ramos	26	Portugal	CD Tondela	2012-07-01
F. Lejeune	27	France	Newcastle United	2017-07-04
G. Krychowiak	28	Poland	Lokomotiv Moscow	2016-07-03
N. Lodeiro	29	Uruguay	Seattle Sounders FC	2016-07-27
O. Özyakup	25	Turkey	Beşiktaş JK	2012-06-08
C. Tévez	34	Argentina	Boca Juniors	2018-01-06
K. Papadopoulos	26	Greece	Hamburger SV	2017-07-01
M. Gradel	30	Ivory Coast	Toulouse Football Club	2018-07-01
M. Debuchy	32	France	AS Saint-Étienne	2018-01-31
V. Moses	27	Nigeria	Chelsea	2012-08-24
Z. Junuzović	30	Austria	FC Red Bull Salzburg	2018-07-01
Granero	30	Spain	RCD Espanyol	2017-07-07
J. Baumgartlinger	30	Austria	Bayer 04 Leverkusen	2016-07-01
Fábio Coentrão	30	Portugal	Rio Ave FC	2018-08-31
B. Costil	30	France	FC Girondins de Bordeaux	2017-06-19
Hilton	40	Brazil	Montpellier HSC	2011-08-01
N. Gudelj	26	Serbia	Sporting CP	NA
L. Pratto	30	Argentina	River Plate	2018-01-09
E. Hernández	30	Mexico	Cruz Azul	2018-07-05
Jurado	32	Spain	Al Ahli	2018-06-21
R. Cabella	28	France	AS Saint-Étienne	2018-08-16
Rafael Tolói	27	Brazil	Atalanta	2015-08-26
C. Bravo	35	Chile	Manchester City	2016-08-25
Hernanes	33	Brazil	Hebei China Fortune FC	2017-02-09
K. Honda	32	Japan	Melbourne Victory	2018-08-06
A. Dzyuba	29	Russia	NA	NA
J. Holebas	34	Greece	Watford	2015-07-02
Javi García	31	Spain	Real Betis	2017-08-14
Sergio	31	Spain	RC Celta	2009-08-01
M. Cáceres	31	Uruguay	Lazio	2018-01-08
Daniel Carriço	29	Portugal	Sevilla FC	2014-06-23
J. Cork	29	England	Burnley	2017-07-11
J. Tomkins	29	England	Crystal Palace	2016-07-05
Guilherme	32	Russia	Lokomotiv Moscow	2007-08-22
Gervinho	31	Ivory Coast	Parma	2018-08-17
J. Shelvey	26	England	Newcastle United	2016-01-12
R. Eremenko	31	Finland	Spartak Moscow	2018-08-10
R. Vormer	30	Netherlands	Club Brugge KV	2014-09-01
J. Lens	30	Netherlands	Beşiktaş JK	2018-02-28
Adriano	33	Brazil	Beşiktaş JK	2016-07-29
S. Cook	27	England	Bournemouth	2012-01-01
L. Podolski	33	Germany	Vissel Kobe	2017-07-01
C. Ansaldi	31	Argentina	Torino	NA
Manu García	32	Spain	Deportivo Alavés	2012-07-01
R. Alessandrini	29	France	LA Galaxy	2017-01-31
J. Ward-Prowse	23	England	Southampton	2011-06-01
M. Harnik	31	Austria	SV Werder Bremen	2018-07-01
B. Moukandjo	29	Cameroon	Beijing Renhe FC	NA
G. Pereiro	23	Uruguay	PSV	2015-07-15
G. Castro	31	Germany	VfB Stuttgart	2018-07-01
Aarón Martín	21	Spain	1. FSV Mainz 05	NA
F. Johnson	30	United States	Borussia Mönchengladbach	2014-07-01
L. López	28	Argentina	Genoa	NA
M. Dossevi	30	Togo	Toulouse Football Club	2018-08-03
Caiuby	29	Brazil	FC Augsburg	2014-07-11
Gabriel	24	Brazil	SL Benfica	2018-08-27
Iván Ramis	33	Spain	SD Eibar	2015-08-16
M. Suchý	30	Czech Republic	FC Basel 1893	2014-07-01
T. Vilhena	23	Netherlands	Feyenoord	2011-04-01
E. Çolak	27	Turkey	Al Wehda	2018-07-01
V. Germain	28	France	Olympique de Marseille	2017-06-26
G. Hoarau	34	France	BSC Young Boys	2014-08-30
Sergio García	35	Spain	RCD Espanyol	2017-07-01
E. Choupo-Moting	29	Cameroon	Paris Saint-Germain	2018-08-31
J. Pinola	35	Argentina	River Plate	2017-06-27
J. Hendrix	23	Netherlands	PSV	2011-12-07
J. Izquierdo	25	Colombia	Brighton & Hove Albion	2017-08-16
S. Sydorchuk	27	Ukraine	Dynamo Kyiv	2013-01-01
C. Grenier	27	France	Stade Rennais FC	2018-07-24
T. Strobl	28	Germany	Borussia Mönchengladbach	2016-07-01
V. Odjidja-Ofoe	29	Belgium	KAA Gent	2018-07-21
N. Guzmán	32	Argentina	Tigres U.A.N.L.	2014-07-04
F. Fabra	27	Colombia	Boca Juniors	2016-01-24
J. Maddison	21	England	Leicester City	2018-06-20
K. El Ahmadi	33	Morocco	Al Ittihad	2018-07-09
M. Carcela-González	29	Morocco	Standard de Liège	2018-07-01
M. Gabbiadini	26	Italy	Southampton	2017-01-31
Gomes	37	Brazil	Watford	2014-05-24
M. Ritchie	28	Scotland	Newcastle United	2016-07-01
G. Bou	28	Argentina	Racing Club	NA
Javi Fuego	34	Spain	Villarreal CF	2018-01-30
E. Akbaba	25	Turkey	Galatasaray SK	2018-08-18
J. Amavi	24	France	Olympique de Marseille	2018-07-01
R. Malinovskyi	25	Ukraine	KRC Genk	2017-07-01
D. Welbeck	27	England	Arsenal	2014-09-02
G. Conti	23	Argentina	SL Benfica	2018-07-01
Bruno	28	Spain	Getafe CF	2017-07-05
Garry Rodrigues	27	Cape Verde	Galatasaray SK	2017-01-10
A. Schwolow	26	Germany	SC Freiburg	2012-01-01
L. Cook	21	England	Bournemouth	2016-07-08
P. Pérez	32	Argentina	Boca Juniors	2014-12-30
Gazzolisco	30	Brazil	Internacional	2018-01-01
Jonatan Soriano	32	Spain	Beijing Sinobo Guoan FC	2017-02-26
Rubén Peña	26	Spain	SD Eibar	2016-07-01
Mikel San José	29	Spain	Athletic Club de Bilbao	2010-07-01
P. Groß	27	Germany	Brighton & Hove Albion	2017-07-01
L. Baines	33	England	Everton	2007-08-07
A. Ogbonna	30	Italy	West Ham United	2015-07-10
Juan Jesus	27	Brazil	Roma	2012-01-30
J. Martínez	31	Colombia	Portimonense SC	NA
N. Elvedi	21	Switzerland	Borussia Mönchengladbach	2015-07-01
G. Moreno	32	Colombia	Shanghai Greenland Shenhua FC	2012-07-01
J. Valdivia	34	Chile	Colo-Colo	2017-06-20
A. Carroll	29	England	West Ham United	2013-06-19
Luís Neto	30	Portugal	NA	NA
A. Pyatov	34	Ukraine	Shakhtar Donetsk	2007-01-01
T. Gutiérrez	33	Colombia	Junior FC	2017-06-21
Álex Remiro	23	Spain	Athletic Club de Bilbao	2013-07-01
Wilson Eduardo	27	Portugal	SC Braga	2015-08-31
Jorge Meré	21	Spain	1. FC Köln	2017-07-20
M. Elneny	25	Egypt	Arsenal	2016-01-14
D. Torres	28	Colombia	Deportivo Alavés	2016-07-20
Y. Bounou	27	Morocco	Girona FC	2016-07-12
A. Prijović	28	Serbia	PAOK	2017-01-16
A. Jahanbakhsh	24	Iran	Brighton & Hove Albion	2018-07-25
J. Calleri	24	Argentina	Deportivo Alavés	2016-01-18
Simão Acunha	30	Brazil	Atlético Mineiro	2018-01-01
N. Müller	30	Germany	Eintracht Frankfurt	2018-07-01
L. Ocampos	23	Argentina	Olympique de Marseille	2015-07-01
J. Rodriguez	28	England	West Bromwich Albion	2017-07-02
V. Ibišević	33	Bosnia Herzegovina	Hertha BSC	2015-08-30
S. Rondón	28	Venezuela	Newcastle United	NA
Victor Sánchez	30	Spain	RCD Espanyol	2012-01-01
D. Suárez	30	Uruguay	Getafe CF	2015-07-08
K. Huntelaar	34	Netherlands	Ajax	2017-07-01
L. Dubois	23	France	Olympique Lyonnais	2018-07-01
André Pinto	28	Portugal	Sporting CP	2017-07-01
K. Lala	26	France	RC Strasbourg Alsace	2017-06-12
O. Kıvrak	30	Turkey	Trabzonspor	2008-01-15
A. Bertolacci	27	Italy	Milan	2015-07-02
E. Giaccherini	33	Italy	Chievo Verona	2018-07-01
